Key,en,es,ar,fr
Mail successfully sended,Mail successfully sended,Correo enviado exitosamente,تم إرسال البريد بنجاح,Mail envoyé avec succès
This support ticket is closed.,This support ticket is closed.,Este ticket de soporte está cerrado.,تم إغلاق تذكرة الدعم هذه.,Ce ticket de support est fermé.
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,¡Falló el envío de SMS! Por favor inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! يرجى المحاولة مرة أخرى.,L'envoi du SMS a échoué ! Veuillez réessayer.
Failed to change status to active!,Failed to change status to active!,¡No se pudo cambiar el estado a activo!,فشل تغيير الحالة إلى نشطة!,Échec du changement de statut en actif !
This ticket is already solved!,This ticket is already solved!,¡Este ticket ya está solucionado!,تم حل هذه التذكرة بالفعل!,Ce ticket est déjà résolu !
Transaction charge not found!,Transaction charge not found!,¡Cargo de transacción no encontrado!,لم يتم العثور على رسوم المعاملة!,Frais de transaction introuvables !
Charge Updated Successfully!,Charge Updated Successfully!,¡Carga actualizada exitosamente!,تم تحديث الشحن بنجاح!,Charge mise à jour avec succès !
Useful link added successfully!,Useful link added successfully!,¡Enlace útil agregado exitosamente!,تمت إضافة الرابط المفيد بنجاح!,Lien utile ajouté avec succès !
Link not found!,Link not found!,Enlace no encontrado!,لم يتم العثور على الرابط!,Lien introuvable !
Useful link updated successfully!,Useful link updated successfully!,¡Enlace útil actualizado exitosamente!,تم تحديث الرابط المفيد بنجاح!,Lien utile mis à jour avec succès !
Useful link deleted successfully!,Useful link deleted successfully!,¡Enlace útil eliminado exitosamente!,تم حذف الرابط المفيد بنجاح!,Lien utile supprimé avec succès !
Useful link status updated successfully!,Useful link status updated successfully!,¡El estado del enlace útil se actualizó exitosamente!,تم تحديث حالة الرابط المفيد بنجاح!,Statut du lien utile mis à jour avec succès !
Oops! User does not exists,Oops! User does not exists,¡Ups! El usuario no existe,أُووبس! المستخدم غير موجود,Oups ! L'utilisateur n'existe pas
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,تم إرسال البريد الإلكتروني بنجاح,E-mail envoyé avec succès
User already KYC verified,User already KYC verified,Usuario ya verificado KYC,تم التحقق من المستخدم بالفعل,Utilisateur déjà vérifié KYC
User KYC information not found,User KYC information not found,Información KYC del usuario no encontrada,لم يتم العثور على معلومات KYC الخاصة بالمستخدم,Informations KYC de l'utilisateur introuvables
User KYC successfully approved,User KYC successfully approved,Usuario KYC aprobado exitosamente,تمت الموافقة على KYC للمستخدم بنجاح,L'utilisateur KYC a été approuvé avec succès
User KYC information is rejected,User KYC information is rejected,La información KYC del usuario es rechazada,تم رفض معلومات KYC الخاصة بالمستخدم,Les informations KYC de l'utilisateur sont rejetées
Basic settings updated successfully!,Basic settings updated successfully!,¡La configuración básica se actualizó correctamente!,تم تحديث الإعدادات الأساسية بنجاح!,Paramètres de base mis à jour avec succès !
You have to configure your system mail first.,You have to configure your system mail first.,Primero debe configurar el correo de su sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً.,Vous devez d'abord configurer votre messagerie système.
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Primero configure el campo KYC. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي,Veuillez d'abord configurer le champ KYC. Accédez à la page [Configuration KYC] depuis la barre latérale
Basic settings status updated successfully!,Basic settings status updated successfully!,¡El estado de la configuración básica se actualizó correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!,L'état des paramètres de base a été mis à jour avec succès !
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,¡Configuración básica no encontrada! Ejecute el sembrador de base de datos.,لم يتم العثور على الإعداد الأساسي! الرجاء تشغيل بذارة قاعدة البيانات,Paramètre de base introuvable ! Veuillez exécuter le semoir de base de données
No changes to update.,No changes to update.,No hay cambios para actualizar.,لا توجد تغييرات للتحديث.,Aucune modification à mettre à jour.
Image assets updated successfully!.,Image assets updated successfully!.,Recursos de imagen actualizados exitosamente.,تم تحديث أصول الصورة بنجاح!.,Les éléments d'image ont été mis à jour avec succès !.
SEO information updated successfully!,SEO information updated successfully!,¡Información SEO actualizada con éxito!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!,Informations SEO mises à jour avec succès !
You can resend verification code after,You can resend verification code after,Puedes reenviar el código de verificación después,يمكنك إعادة إرسال رمز التحقق بعد ذلك,Vous pouvez renvoyer le code de vérification après
seconds,seconds,artículos de segunda clase,ثواني,secondes
token,token,simbólico,رمز مميز,jeton
wait_time,wait_time,tiempo de espera,wait_time,temps_d'attente
instructions,instructions,instrucciones,تعليمات,instructions
input_fields,input_fields,campos_de_entrada,input_fields,champs_d'entrée
User doesn't exists!,User doesn't exists!,¡El usuario no existe!,المستخدم غير موجود!,L'utilisateur n'existe pas !
Oops! User doesn't exists,Oops! User doesn't exists,¡Ups! El usuario no existe,أُووبس! المستخدم غير موجود,Oups ! L'utilisateur n'existe pas
Waiting,Waiting,Espera,منتظر,En attendant
Hold,Hold,Sostener,يمسك,Prise
User already exists!,User already exists!,¡El usuario ya existe!,المستخدم موجود بالفعل!,L'utilisateur existe déjà !
Registration Failed! Something went wrong! Please try again,Registration Failed! Something went wrong! Please try again,¡El registro falló! ¡Algo salió mal! Por favor inténtalo de nuevo,فشل التسجيل! حدث خطأ ما! يرجى المحاولة مرة أخرى,L'inscription a échoué ! Quelque chose s'est mal passé ! Veuillez réessayer
Transaction request sended successfully!,Transaction request sended successfully!,¡Solicitud de transacción enviada exitosamente!,تم إرسال طلب المعاملة بنجاح!,Demande de transaction envoyée avec succès !
Successfully added money,Successfully added money,Dinero agregado exitosamente,تمت إضافة الأموال بنجاح,Argent ajouté avec succès
Gpay bank list server response failed! Please try again,Gpay bank list server response failed! Please try again,¡La respuesta del servidor de la lista de bancos de Gpay falló! Por favor inténtalo de nuevo,فشلت استجابة خادم قائمة بنك Gpay! يرجى المحاولة مرة أخرى,La réponse du serveur de liste de banques Gpay a échoué ! Veuillez réessayer
Transaction hash is required for verify,Transaction hash is required for verify,Se requiere hash de transacción para verificar,تجزئة المعاملة مطلوبة للتحقق,Le hachage de la transaction est requis pour la vérification
Transaction hash is not valid! Please input a valid hash,Transaction hash is not valid! Please input a valid hash,¡El hash de transacción no es válido! Por favor ingresa un hash válido,تجزئة المعاملة غير صالحة! الرجاء إدخال تجزئة صالحة,Le hachage de la transaction n'est pas valide ! Veuillez saisir un hachage valide
Insufficient amount added. Please contact with system administrator,Insufficient amount added. Please contact with system administrator,Cantidad insuficiente agregada. Por favor contacte con el administrador del sistema,تمت إضافة كمية غير كافية. يرجى الاتصال بمسؤول النظام,Quantité ajoutée insuffisante. Veuillez contacter l'administrateur système
Payment Confirmation Success!,Payment Confirmation Success!,¡Confirmación de pago exitosa!,نجاح تأكيد الدفع!,Confirmation de paiement réussie !
This section is under maintenance!,This section is under maintenance!,¡Esta sección está en mantenimiento!,هذا القسم تحت الصيانة!,Cette rubrique est en maintenance !
Banned,Banned,Prohibido,محظور,Interdit
Enable,Enable,Permitir,يُمكَِن,Activer
Disable,Disable,Desactivar,إبطال,Désactiver
label,label,etiqueta,ملصق,étiquette
Language Name,Language Name,Nombre del idioma,اسم اللغة,Nom de la langue
Language Code,Language Code,Código de idioma,رمز اللغة,Code de langue
Type,Type,Tipo,يكتب,Taper
FIAT,FIAT,FÍAT,فيات,DÉCRET
CRYPTO,CRYPTO,CRIPTO,تشفير,CRYPTO
